Global,,Program Change 1,,Program Change 2,,Program Change 3,,Program Change 4,,Program Change 5,,Continuous Controller 1,,,Continuous Controller 2,,,Switch 1,Switch 2,Expression Pedal A,,,,Expression Pedal B,,,,Note,
8,1,0,70,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
8,2,0,71,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
8,3,0,72,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
8,4,0,73,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
8,5,0,74,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
8,6,0,75,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
8,7,0,76,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,62
8,8,0,77,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,63
8,9,0,78,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,64
8,10,0,79,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,65
9,1,0,80,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,46
9,2,0,81,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,48
9,3,0,82,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,49
9,4,0,83,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,50
9,5,0,84,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,51
9,6,0,85,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
9,7,0,86,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,55
9,8,0,87,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
9,9,0,88,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,57
9,10,0,89,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
10,1,0,90,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,49
10,2,0,91,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,51
10,3,0,92,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,52
10,4,0,93,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,53
10,5,0,94,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,54
10,6,0,95,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,56
10,7,0,96,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,58
10,8,0,97,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,59
10,9,0,98,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,60
10,10,0,99,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,16,0,127,1,93,0,127,1,61
