Global,,Program Change 1,,Program Change 2,,Program Change 3,,Program Change 4,,Program Change 5,,Continuous Controller 1,,,Continuous Controller 2,,,Switch 1,Switch 2,Expression Pedal A,,,,Expression Pedal B,,,,Note,
8,1,1,70,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,2,1,71,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,3,1,72,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,4,1,73,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,5,1,74,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,6,1,75,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,7,1,76,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,8,1,77,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,9,1,78,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
8,10,1,79,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,1,1,80,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,2,1,81,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,3,1,82,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,4,1,83,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,5,1,84,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,6,1,85,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,7,1,86,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,8,1,87,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,9,1,88,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
9,10,1,89,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,1,1,90,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,2,1,91,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,3,1,92,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,4,1,93,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,5,1,94,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,6,1,95,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,7,1,96,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,8,1,97,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,9,1,98,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
10,10,1,99,0,0,0,0,0,0,0,0,0,26,0,0,26,127,0,0,1,27,1,127,1,7,0,127,0,60
